timestamp,open,high,low,close,volume,tf
1713574800000,63407.50,63767.00,63045.10,63623.70,11707.3810,1h
1713578400000,63623.70,64078.70,63501.90,63803.70,6933.6350,1h
1713582000000,63803.70,64000.00,63730.00,63931.80,4449.8870,1h
1713585600000,63931.80,64244.00,63779.90,64102.00,6975.1330,1h
1713589200000,64102.00,64217.30,63950.40,64117.80,3776.1030,1h
1713592800000,64117.60,64190.00,63901.70,64017.30,5107.5180,1h
1713596400000,64017.40,64134.20,63893.70,63937.90,3266.4090,1h
1713600000000,63938.00,63967.20,63620.00,63706.80,7224.4320,1h
1713603600000,63706.80,63759.30,63244.00,63583.40,13908.9560,1h
1713607200000,63583.40,63757.70,63333.70,63538.70,7733.9800,1h
1713610800000,63538.60,63900.00,63525.30,63688.70,6455.6520,1h
1713614400000,63688.70,63916.00,63537.30,63790.80,5018.3830,1h
1713618000000,63790.80,64034.10,63768.00,63846.50,5066.9210,1h
1713621600000,63846.40,63963.60,63703.20,63906.00,3993.6550,1h
1713625200000,63905.90,64940.00,63758.00,64771.00,19737.2770,1h
1713628800000,64771.00,64949.00,64421.80,64708.90,16063.8350,1h
1713632400000,64708.80,65400.00,64708.80,65167.90,18625.1980,1h
1713636000000,65167.90,65281.90,64793.80,64932.60,10221.1170,1h
1713639600000,64932.50,64973.70,64756.20,64834.70,5187.0460,1h
1713643200000,64834.80,65013.00,64573.20,64690.70,6634.9790,1h
1713646800000,64690.60,64800.00,64587.40,64700.40,3100.3880,1h
1713650400000,64700.30,64757.30,64513.10,64581.10,3754.7120,1h
1713654000000,64581.10,64963.60,64581.00,64897.20,4037.7930,1h
1713657600000,64897.20,64929.90,64570.50,64732.10,4772.8970,1h
1713661200000,64732.10,65087.80,64700.50,64915.70,4487.7580,1h
1713664800000,64915.60,65363.20,64890.60,65274.30,7533.5500,1h
1713668400000,65274.40,65678.70,65048.00,65131.20,13774.1560,1h
1713672000000,65131.30,65167.90,64803.10,65029.60,6787.6110,1h
1713675600000,65029.60,65216.30,64943.10,64992.90,3670.8000,1h
1713679200000,64992.90,65174.00,64901.20,65020.70,3072.5610,1h
1713682800000,65020.60,65139.10,64861.20,65109.80,4371.6930,1h
1713686400000,65109.80,65199.40,64884.20,64895.00,5195.0210,1h
1713690000000,64897.60,64963.00,64728.30,64872.60,5089.6140,1h
1713693600000,64872.70,64972.30,64751.40,64925.20,3209.7050,1h
1713697200000,64925.30,65425.00,64918.70,65203.50,11841.3000,1h
1713700800000,65203.50,65362.30,64901.00,64976.40,6365.9520,1h
1713704400000,64976.40,65226.90,64743.70,64850.10,9309.0870,1h
1713708000000,64850.20,65015.50,64752.20,64865.40,4701.3530,1h
1713711600000,64865.40,65112.00,64840.00,65015.00,3853.7270,1h
1713715200000,65014.90,65068.70,64214.20,64557.40,23738.1920,1h
1713718800000,64557.30,64859.00,64506.30,64793.00,5958.8800,1h
